2026-02-24 19:05:46 UTC|/Ekskursija-Liepaja/index.html|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:08:01 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:08:03 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|1243|71|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1243:71     at HTMLButtonElement. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1270:9)|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:26:53 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:26:55 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3717|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3717:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3728:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:33:07 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3714|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3714:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3725:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:33:07 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught TypeError: Cannot read properties of null (reading '1')|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|1219|70|TypeError: Cannot read properties of null (reading '1')     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1219:70     at NodeList.forEach ()     at updateMapState (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1218:12)     at HTMLDocument. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:758:42)|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:33:10 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught ReferenceError: startRTUTowerGame is not defined|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|3714|28|ReferenceError: startRTUTowerGame is not defined     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3714:28     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:3725:3|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-24 19:33:10 UTC|/Ekskursija-Liepaja/map.html?name=ff|Uncaught TypeError: Cannot read properties of null (reading '1')|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225|1219|70|TypeError: Cannot read properties of null (reading '1')     at http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1219:70     at NodeList.forEach ()     at updateMapState (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:1218:12)     at HTMLDocument. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260216194225:758:42)|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0
2026-02-28 16:38:10 UTC|/Ekskursija-Liepaja/map.html?name=Dans|Uncaught TypeError: Cannot read properties of undefined (reading 'length')|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228|520|40|TypeError: Cannot read properties of undefined (reading 'length')     at RTUTowerScene._showOverlay (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:520:40)     at RTUTowerScene._showLosePrompt (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:539:22)     at RTUTowerScene._drop (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:380:30)     at InputPlugin. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:310:26)     at InputPlugin.emit (https://cdn.jsdelivr.net/npm/phaser@3.88.2/dist/phaser.js:199:35)     at InputPlugin.processDownEvents (https://cdn.jsdelivr.net/npm/phaser@3.88.2/dist/phaser.js:104872:22)     at InputPlugin.update (https://cdn.jsdelivr.net/npm/phaser@3.88.2/dist/phaser.js:104549:35)     at InputManager|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36
2026-02-28 16:43:23 UTC|/Ekskursija-Liepaja/map.html?name=das|Uncaught TypeError: Cannot read properties of undefined (reading 'length')|http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228|519|40|TypeError: Cannot read properties of undefined (reading 'length')     at RTUTowerScene._showOverlay (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:519:40)     at RTUTowerScene._showLosePrompt (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:538:22)     at RTUTowerScene._drop (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:379:30)     at InputPlugin. (http://localhost/Ekskursija-Liepaja/src/js/script.js?v=20260228:309:26)     at InputPlugin.emit (https://cdn.jsdelivr.net/npm/phaser@3.88.2/dist/phaser.js:199:35)     at InputPlugin.processDownEvents (https://cdn.jsdelivr.net/npm/phaser@3.88.2/dist/phaser.js:104872:22)     at InputPlugin.update (https://cdn.jsdelivr.net/npm/phaser@3.88.2/dist/phaser.js:104549:35)     at InputManager|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36
